ClustMethod,Drug,Group_Pair,padj_1,diff,lwr,upr,padj_2
1,benzethonium_2.5_BRD-K72723676-003-17-8,G_4-3,5.00209430220888e-06,1.480327694075,0.656150096911621,2.30450529123838,0.00393596793101329
1,benzethonium_2.5_BRD-K72723676-003-17-8,G_6-3,1.30606501084207e-05,1.36362108847917,0.574531115349464,2.15271106160887,0.00885944429906237
1,OSI-420_2.5_BRD-K73309154-003-02-8,G_6-3,3.88158570693298e-05,-0.792070397516667,-1.27268356256773,-0.311457232465603,0.0199887438200269
1,pitavastatin_2.5_BRD-K75958547-238-01-0,G_3-2,1.53047046570487e-05,-1.50690803988305,-2.38491851361185,-0.628897566154256,0.00983882444874507
1,BMS-690514_2.5_BRD-K76239644-001-01-8,G_3-2,7.71987582748324e-08,1.13704011004827,0.588365307793093,1.68571491230345,0.000143266329554641
1,BMS-690514_2.5_BRD-K76239644-001-01-8,G_6-3,3.39639736335329e-08,-1.21387435068333,-1.78540127175219,-0.642347429614482,7.6716288039029e-05
1,vandetanib_2.5_BRD-K77625799-001-07-7,G_6-3,6.18193968648928e-06,-0.7583676704,-1.18421739146644,-0.332517949333558,0.00464155132582987
1,NVP-BVU972_2.5_BRD-K77943374-001-02-8,G_3-2,6.31969809816724e-09,0.883441568920688,0.486777089366028,1.28010604847535,1.72664684872093e-05
1,NVP-BVU972_2.5_BRD-K77943374-001-02-8,G_4-2,2.3323646068496e-05,0.668636495270687,0.271972015716027,1.06530097482535,0.0136551617857448
1,SB-590885_2.5_BRD-K78809024-001-05-7,G_3-2,9.20011777871821e-09,-0.874435848425776,-1.27111798615079,-0.477753710700764,2.32026970379273e-05
1,SB-590885_2.5_BRD-K78809024-001-05-7,G_4-3,1.52522439123004e-12,1.167205885125,0.735628577116037,1.59878319313396,1.2501501722717e-08
1,SB-590885_2.5_BRD-K78809024-001-05-7,G_6-3,4.02913769015356e-09,0.931494186027501,0.518290372247212,1.34469799980779,1.20578838022179e-05
1,broxuridine_2.5_BRD-K79095980-001-09-6,G_4-3,2.43462238258552e-07,0.7097194319475,0.354640376423167,1.06479848747183,0.000362825133797495
1,broxuridine_2.5_BRD-K79095980-001-09-6,G_6-3,2.73213493839908e-06,0.624699133161666,0.284736820006152,0.964661446317181,0.00244297571155506
1,NVP-BHG712_2.5_BRD-K79259477-001-04-9,G_3-2,4.06911346839678e-08,0.796675645715255,0.41957469692416,1.17377659450635,8.51552898988448e-05
1,NVP-BHG712_2.5_BRD-K79259477-001-04-9,G_4-2,2.0206263172895e-05,0.639610286590254,0.262509337799159,1.01671123538135,0.0121929302647829
